,richness
0,2.9241083854506074
1,2.343235296167694
2,1.5028419241460251
3,1.6718530483550134
4,1.5471445200998066
5,2.812418574809222
6,2.183086615666529
7,2.6249666388199717
8,2.179807754094474
9,2.9829776188097172
10,2.1876150564427794
11,2.576791864896275
12,1.9128027051268144
13,2.198675151439047
14,2.449498743573373
15,3.6718870498902647
16,2.6889690362221
17,2.992743393125684
18,2.702649491512364
19,2.5804055046946632
20,2.428404857437329
21,2.9628136883080387
22,3.42359150496025
23,1.5719074040661805
24,1.685025555858022
25,2.0538813168372783
26,1.3238845441681495
27,2.279343332149442
28,2.426053624950578
29,2.2971395857925705
30,1.2142569637366876
31,2.191094855021777
32,2.614538719046369
33,2.2884578015741543
34,1.3965070169996219
35,2.342890684686579
36,2.5443639437283903
37,1.8707559841917145
38,2.6570519484617274
39,2.633542189209572
40,2.4956040620564357
41,1.954742777105703
42,2.188632199027745
43,1.8955163148988403
44,2.308969447916224
45,2.8371333607444726
46,2.6804369700968285
47,2.6389278440559476
48,2.2091680283212565
49,2.3756451270089145
50,2.5731604441442855
51,2.178346473229047
52,2.1405262868264923
53,2.371082440957489
54,2.2983835061486935
55,1.7074176023615248
56,2.0509651851601314
57,2.218287006700532
58,0.6931471805599453
59,2.235661425875046
60,2.6648864681592257
61,2.38775383198637
62,3.1422174020829843
63,2.4093014428820405
64,2.5191158689290565
65,2.993258887141877
66,2.2837704125357696
67,3.222933411143985
68,1.888291052062784
69,2.7091772490606925
70,3.0632694055076533
71,3.4622485730575545
72,1.4607339216464998
73,2.1475622685730142
74,2.00094455981835
75,2.207467470311176
76,2.456877157443081
77,2.22537137037607
78,2.103258688777103
79,1.4753862010532148
80,2.1561250496483773
81,2.3342397970831232
82,3.473524819097574
83,2.04856930695648
84,3.106227536880612
85,1.8194632641724262
86,2.9216538019365097
87,1.9980301880592453
88,2.1451957391515113
89,2.4361781444762434
90,2.8635870767279172
91,2.176776352603041
92,2.6673573246139086
93,2.176175189901002
94,2.2099360743744643
95,1.802321745290023
96,2.630005569045197
97,2.8468078331459306
98,2.3418503567408555
99,2.0729156665993558
100,2.167213982216955
101,2.2210815967000537
102,1.7648520817398539
103,3.121094231964583
104,1.2070963965062285
105,0.9058052080661457
106,1.7543912108762985
107,2.029199640749238
108,1.9900662120815606
109,3.029517655615054
110,2.327182644630218
111,2.433438764755021
112,2.6957494150361474
113,2.600541654893159
114,2.2424290669531812
115,3.263298149235351
116,2.7334239143256798
117,1.5912575296375866
118,2.151462475541072
119,2.2626076823229373
120,2.1588405507350568
121,2.3240716170716134
122,3.3243990461162247
123,3.172945570827054
124,1.866197719509222
125,2.486687428587689
126,0.9938239585503912
127,2.400077362483636
128,2.4479550829845755
129,2.638278418483379
130,1.888691281470602
131,1.352691569624312
132,2.214958162719331
133,2.119931643633096
134,2.1531509515863134
135,2.5759821493978605
136,2.2697806627053123
137,3.033512993112623
138,2.0349369711107195
139,1.807374913851571
140,2.2923634364187446
141,1.9411881241645959
142,2.6417754126240056
143,2.0449427376244604
144,1.5060275418672227
145,1.96915458978781
146,2.332801539841714
147,2.8395019011399487
148,1.6800744802570995
149,2.622367100456714
150,1.8893037650991922
151,2.045503936625505
152,1.8470672543722
153,1.8760228946690551
154,2.5890915090564666
155,2.418638066358881
156,1.9303370451864883
157,2.7154198960004545
158,2.6987687255150656
159,2.6625697716606593
160,2.502035603935951
161,2.6822432183349405
162,2.116054852228775
163,2.3638647924002507
164,3.792995666762807
165,1.5732119063044216
166,2.0660744406993903
167,2.5392546427151106
168,3.0502045120991874
169,2.075487098058347
170,2.469700355223751
171,2.4314434828480995
172,1.8231236795239156
173,1.8707178107533984
174,2.267036419848641
175,1.7273201545936168
176,1.9855273765010741
177,2.276707288431348
178,1.9892476887245119
179,2.0010249051675926
180,1.7698970936788874
181,2.3763119714622727
182,1.625846059658023
183,1.7987326622315207
184,2.5798244772050314
185,2.369876330266335
186,2.6671186994080287
187,2.002190032029584
188,1.782045672373669
189,3.36587367630203
190,1.4709153592672668
191,2.2869654503023713
192,3.2430805393965927
193,1.8185106250879388
194,2.26458841882746
195,0.8716863428826956
196,3.1802734554157017
197,2.1797405869960977
198,0.6790855952442373
199,1.9072714975363716
200,2.8263366718427383
201,1.8711789803365861
202,2.3991671006063795
203,2.4961489199763487
204,1.6044090950542669
205,3.8246981712763577
206,2.6585131621097737
207,2.153208049978837
208,2.196509711463681
209,3.5011984490081702
210,2.738235699192622
211,2.232203199472245
212,1.6173788318732827
213,2.404155423693491
214,2.916376936804139
215,3.3302163309201487
216,2.124349003171945
217,3.0157746255471936
218,3.2512616752036547
219,1.665114586369843
220,1.6521366595282152
221,1.935919487455771
222,1.7047367499859973
223,4.50410235958752
224,2.2910625988097273
225,2.4176115716126905
226,2.8654399427557036
227,1.0777436413446257
228,2.847721971433276
229,2.4387109771228292
230,1.984102801223073
231,2.5769063737972737
232,2.79791305464304
233,3.0694835064931985
234,2.846643801200042
235,2.414685350845831
236,2.125601876824177
237,3.340757010348196
238,1.9082472677711135
239,2.204203163772565
240,1.6094379124341003
241,2.226353381116705
242,1.8730732705683686
243,2.00980927363557
244,2.784413512873535
245,2.329750837277587
246,2.934714025131824
247,2.4612109465377565
248,2.325685094218485
249,2.089174595710124
250,2.1280659142810063
251,1.4262852219610596
252,2.7568862848114017
253,2.056517197807199
254,1.1343829854445784
255,2.6092406818842755
256,2.307363550581248
257,1.7958862908991198
258,3.3545179272030863
259,3.0602968823948995
260,2.4458622475331806
261,3.0083348004360135
262,2.393678151910897
263,0.4425026251358012
264,2.5257781204795755
265,2.504642465771997
266,2.9942686008962416
267,3.1906872848279293
268,1.9884312751418438
269,2.7145655432155182
270,2.383499946435755
271,2.0434263877457814
272,3.140481876994017
273,2.4671532270373686
274,2.044821547108055
275,2.31405389155289
276,2.33434281163306
277,2.228733014401101
278,2.5459072276424344
279,2.3417062621638256
280,2.0590457218545786
281,1.9051544651860808
282,1.8960251174368157
283,2.034018582213357
284,2.5181955777883456
285,2.4868111228803724
286,2.1652234354887456
287,2.2701149359572153
288,2.5110696823382943
289,2.2874137137335055
290,2.3934631399884494
291,1.7529956572978211
292,2.057558012086791
293,4.022545442591402
294,2.284661307387508
295,3.0122445979584387
296,3.20889620803759
297,2.5198897809366567
298,3.362901950571319
299,2.599982050635424
300,2.0977233466251537
301,2.2380664970102306
302,2.5813068152034693
303,1.5034197617565443
304,2.5769444397137646
305,1.8657410953659161
306,0.9209620007313468
307,1.6706011993470598
308,2.287106191461163
309,2.305159273380881
310,2.944445486291227
311,2.9573985701053798
312,2.405460971122229
313,1.994332579450837
314,2.4800254261902226
315,1.93589527633273
316,1.3364637311516518
317,2.9256283212251
318,3.18399181791457
319,2.3253555382911375
320,2.7200382596318113
321,2.0943635119551667
322,2.2329949585640096
323,2.851642614308448
324,2.343254303101059
325,2.444638344705888
326,2.0760609801254195
327,2.400416157633352
328,1.9519959238769438
329,2.5847775393162755
330,2.1577979652887573
331,2.0721290795744856
332,2.368254655193478
333,2.9301161203662733
334,1.8696696032190454
335,1.8876753211249218
336,1.7314583476152061
337,2.386939019804161
338,1.4287006891643783
339,2.131596120614623
340,2.070364203785627
341,2.207596457993681
342,2.778409859607341
343,3.317721285383067
344,1.8392753936383333
345,2.2600882953490404
346,3.635949630615094
347,2.588226493042377
348,2.223622016354967
349,1.832230542546753
350,2.104427723108711
351,1.7060558184932813
352,1.4133199413070745
353,1.9281480440522438
354,2.5977996139867234
355,2.4405723417201965
356,3.6639689588023336
357,2.4380202419756887
358,2.19367124006241
359,2.6104826160633094
360,2.1153878552477243
361,2.956785170776649
362,2.041989590574926
363,2.744758036548422
364,2.3965478382777103
365,2.734126327303981
366,2.5014568318667743
367,2.9905170884992254
368,2.492438202793051
369,1.3818870923878408
370,2.250050299472917
371,2.4780770850753084
372,3.1710902108727037
373,1.987486486414665
374,2.528486487168531
375,2.063300513761576
376,2.2871487514923503
377,2.113115512309738
378,2.813332098760196
379,2.046099160306861
380,2.755706110010275
381,2.3676593274349558
382,2.179738667212406
383,1.6915798806144455
384,3.2409581913804026
385,2.170190517476565
386,2.6109564787536828
387,2.3568040950077718
388,1.9546264545920944
389,2.525193050858768
390,2.547882484917278
391,3.463600698619221
392,2.378140893151346
393,2.833290145301516
394,2.204093002243347
395,2.601393148916193
396,2.672479421909446
397,2.1318245820489925
398,2.8873263820360218
399,3.116703997109792
400,2.2702335510541727
401,2.237243529179261
402,2.607573115392904
403,2.0620867495366526
404,2.1641061120608196
405,3.416625468294413
406,2.214145271779698
407,1.9372793027242832
408,2.685951137475358
409,1.8379275585253745
410,2.1765853607729997
411,1.6308325083805888
412,3.566707742847775
413,1.5381393911162586
414,2.9734391404966645
415,3.627570474942348
416,1.9492706207391617
417,2.296032461943118
418,2.8146329347732917
419,2.6510526255880196
420,2.4445512514818684
421,2.0168898576864165
422,1.9200124378365944
423,2.14960382118074
424,2.0835281359288467
425,1.712533521920536
426,1.2936825813043034
427,2.4740971818057105
428,3.3761394770810136
429,2.5072426537961996
430,2.2763027990887923
431,1.7472228654872086
432,2.6865000035481117
433,2.577610620955701
434,2.521387464250116
435,1.9318689378194
436,3.0006109092531066
437,1.7435972713731944
438,2.337435484065196
439,2.2079684741832497
440,2.3837425186032037
441,1.8575270853835981
442,2.581953444982918
443,1.588731514035599
444,2.0811328011927803
445,2.0701532922085613
446,2.8369281858815425
447,2.6087362798859073
448,2.1962337502037044
449,2.466457812509107
450,1.5542096905841691
451,2.8538689036948672
452,2.2505641226125648
453,2.16037033497459
454,3.1317714332980024
455,2.0881647429346923
456,2.545468629438311
457,2.100721527303153
458,1.9913404359847366
459,3.1215179689196377
460,2.2830810560964356
461,1.8953283141518615
462,2.207049265399515
463,1.9021515509615956
464,3.3403126143524178
465,2.2417975040124842
466,2.6480978463723113
467,2.362867979524952
468,1.675132433554058
469,2.9301724244902663
470,2.0469479916470505
471,2.1166094705372154
472,2.0981847360761456
473,1.6491072745253486
474,2.8813666057435428
475,2.164752240950524
476,2.3196731809094677
477,1.5166824731989434
478,2.450648746354386
479,1.93547289663546
480,1.6893971950864648
481,2.432654631004607
482,1.9028402501704378
483,3.1000994219760725
484,1.8865575835805697
485,1.7795042887647083
486,2.707411060735204
487,2.17258959922682
488,2.497249593046007
489,2.5791803534169704
490,2.4081676251942117
491,2.179745777244558
492,2.2585597892102824
493,2.250172092936358
494,2.546581125767691
495,2.4841828060369515
496,1.8698999520337387
497,2.515363493676427
498,1.7535395127002888
499,2.2953995874596
500,3.8110112910702463
501,2.38788041742566
502,2.528143104075773
503,1.7531402343803815
504,0.8554395945671961
505,2.9757172147989923
506,1.4144339636442538
507,1.9126019032785433
508,3.429006768272359
509,2.251626911547217
510,2.4585469557406445
511,1.6094379124341003
512,2.14150429302101
513,2.762413207713698
514,1.5939193572545678
515,1.8511822793172081
516,1.7732428565766039
517,2.466686625933821
518,2.1181123756382725
519,2.680060753459618
520,3.2249005066042624
521,2.806389257082911
522,2.694921604056175
523,3.4529289482648067
524,1.3862943611198906
525,1.915085420932814
526,2.0999312746139065
527,2.345771445529403
528,4.082176926810499
529,2.49380940444696
530,3.5767737774668813
531,2.943831758476934
532,1.8719710618781464
533,1.6657972395314038
534,2.8254794489176924
535,1.933599879190008
536,2.67957335170566
537,2.1878756039136293
538,1.5056431725867687
539,2.675145177700972
540,2.224309597262842
541,1.8522316735962963
542,2.731379999469632
543,2.766716229494683
544,1.9549088349044625
545,2.4621175344675263
546,2.6775613757417034
547,2.8078094312186224
548,1.977967258804595
549,3.2904203168736825
550,2.738659518483534
551,2.1223587519074996
552,1.8815765913356004
553,2.3680445295021095
554,2.273878883126484
555,1.9582213053740192
556,3.513158346520637
557,1.428378667449655
558,2.170775229368794
559,2.3603428435369365
560,1.7734070288809145
561,2.582402320047277
562,0.7561774722983263
563,2.293428441985235
564,1.7991247534037877
565,1.453988613080055
566,1.873377619248475
567,2.5165673395285695
568,2.8339212932098112
569,2.1174899634444517
570,2.3960937553969504
571,1.325148799161824
572,2.2968856504479627
573,1.9908160343013492
574,1.3138158614101991
575,2.7475366212660037
576,3.424484758090595
577,3.0456406552831163
578,2.226607559775098
579,2.0646386399528667
580,2.3561641731665066
581,1.6019442734146212
582,2.6686432833092653
583,1.4130532907588649
584,2.082356588354498
585,2.8683463314376496
586,2.206708635536628
587,2.351418978407308
588,3.342364136019814
589,2.9136575924556163
590,2.2346446083650484
591,2.0518682463430813
592,1.7691572486669098
593,1.9838701376245396
594,2.482236598858091
595,2.2993636691723895
596,2.983410148759082
597,2.192138654216958
598,2.474531437905199
599,1.623962666664046
600,2.544494845508326
601,2.3771824124434278
602,3.2631716346092765
603,3.132152350249346
604,2.8645667484812076
